Order #,Sent Date,Menu Item,Menu Subgroup(s),Menu Group,Menu,Sales Category,Gross Price,Discount,Net Price,Qty,Tax,Void?
18,4/3/26 5:02 PM,Saag Paneer,,Saag,Entrée,Food,16.99,0.00,16.99,1.0,1.70000000,false
18,4/3/26 5:02 PM,Kadhai,,Kadhai,Entrée,Food,15.99,0.00,15.99,1.0,1.60000000,false
18,4/3/26 5:02 PM,Garlic Naan,,Naan,Bread,Food,4.99,0.00,4.99,1.0,0.50000000,false
19,4/3/26 5:06 PM,Coconut Curry,,Coconut,Entrée,Food,15.99,0.00,15.99,1.0,1.60000000,false
19,4/3/26 5:06 PM,Samosa,,Chaat,Appetizer,Appetizer,8.99,0.00,8.99,1.0,0.90000000,false
19,4/3/26 5:06 PM,Garlic Naan,,Naan,Bread,Food,4.99,0.00,4.99,1.0,0.50000000,false
19,4/3/26 5:06 PM,Channa Masala,Vegan,Veg Curries,Entrée,Food,12.99,0.00,12.99,1.0,1.30000000,false
20,4/3/26 5:45 PM,Kulfi,,Cold,Desserts,,11.97,2.39,5.75,3.0,0.58000000,true
21,4/3/26 5:49 PM,Kulfi,,,,,5.97,0.00,5.97,3.0,0E-8,false
22,4/3/26 5:53 PM,Garlic Naan,,Naan,Bread,Food,4.99,0.00,4.99,1.0,0.50000000,false
22,4/3/26 5:53 PM,Chili Garlic Naan,,Naan,Bread,Food,5.99,0.00,5.99,1.0,0.60000000,false
22,4/3/26 5:53 PM,Vindaloo Curry,,Vindaloo,Entrée,Food,18.99,0.00,18.99,1.0,1.90000000,false
22,4/3/26 5:53 PM,Vindaloo Curry,,Vindaloo,Entrée,Food,15.99,0.00,15.99,1.0,1.60000000,false
22,4/3/26 5:53 PM,Chicken Sheekh Kabab,,Sheekh Kabab,Appetizer,Appetizer,13.99,0.00,13.99,1.0,1.40000000,false
23,4/3/26 6:14 PM,Chettinad Curry,,Chettinad,Entrée,Food,18.99,0.00,18.99,1.0,1.90000000,false
23,4/3/26 6:14 PM,Dal Makhani,,Veg Curries,Entrée,Food,14.99,0.00,14.99,1.0,1.50000000,false
23,4/3/26 6:14 PM,Veg Samosa,,Samosa,Appetizer,Appetizer,5.99,0.00,5.99,1.0,0.60000000,false
23,4/3/26 6:14 PM,Garlic Naan,,Naan,Bread,Food,4.99,0.00,4.99,1.0,0.50000000,false
23,4/3/26 6:14 PM,Raita,,Sides,Sides,,4.99,0.00,4.99,1.0,0.50000000,false
24,4/3/26 6:20 PM,Papad,,Papad,Appetizer,Appetizer,3.99,0.00,3.99,1.0,0.40000000,false
24,4/3/26 6:20 PM,Saag Paneer,,Saag,Entrée,Food,16.99,0.00,16.99,1.0,1.70000000,false
24,4/3/26 6:20 PM,Chicken Tikka Masala,,Tikka Masala Curry,Entrée,Food,31.98,0.00,31.98,2.0,3.20000000,false
24,4/3/26 6:20 PM,Saag Lamb,,Saag,Entrée,Food,18.99,0.00,18.99,1.0,1.90000000,false
24,4/3/26 6:20 PM,Garlic Naan,,Naan,Bread,Food,4.99,0.00,4.99,1.0,0.50000000,false
24,4/3/26 6:20 PM,Garlic Naan,,Naan,Bread,Food,4.99,0.00,4.99,1.0,0.50000000,false
24,4/3/26 6:20 PM,Garlic Naan,,Naan,Bread,Food,4.99,0.00,4.99,1.0,0.50000000,false
22,4/3/26 6:21 PM,Coconut Curry,,Coconut,Entrée,Food,15.99,0.00,15.99,1.0,1.60000000,false
27,4/3/26 6:41 PM,Butter Chicken,,Non-Veg Curries,Entrée,Food,15.99,0.00,15.99,1.0,1.60000000,false
27,4/3/26 6:41 PM,Veg Biryani,,Veg,Biryani,Biryani,16.99,0.00,16.99,1.0,1.70000000,false
27,4/3/26 6:41 PM,Garlic Naan,,Naan,Bread,Food,4.99,0.00,4.99,1.0,0.50000000,false
